13,0,381.000,599.000,23.000,57.000,45.764,75.1668,32.1446,0.0000
13,1,633.000,624.000,28.500,40.500,46.068,73.2164,26.7712,0.0000
13,2,1087.000,655.500,31.500,74.000,64.995,59.3225,15.4019,0.0000
13,3,1073.500,649.000,38.000,83.000,71.640,58.8463,15.4153,0.0000
13,4,866.500,656.000,42.000,82.000,61.549,57.3519,17.7260,0.0000
13,5,1173.000,650.000,43.500,87.500,58.108,58.0840,13.8768,0.0000
13,6,1704.000,681.500,64.500,70.500,47.032,56.7546,6.8901,0.0000
13,7,1094.500,727.000,49.500,83.000,74.255,47.5358,12.1702,0.0000
13,8,1311.000,799.000,66.000,146.000,70.720,35.9964,7.3661,0.0000
14,0,381.000,600.500,22.500,55.000,44.769,75.3201,32.2148,0.0000
14,1,631.000,624.000,33.000,41.000,46.666,73.0738,26.7147,0.0000
14,3,1071.000,655.000,50.000,81.000,68.658,58.1493,15.1326,0.0000
14,4,868.000,654.500,40.000,85.000,58.084,57.0938,17.6397,0.0000
14,5,1174.500,649.000,42.500,88.000,59.004,58.1735,13.8851,0.0000
14,6,1704.000,683.000,63.500,69.000,47.294,56.7536,6.8959,0.0000
14,7,1095.000,728.000,48.500,82.000,75.046,47.5358,12.1702,0.0000
14,8,1318.500,797.500,50.500,125.000,72.009,37.5501,7.7369,0.0000
14,9,428.500,616.500,22.000,50.500,49.838,72.0393,29.9742,0.0000
15,0,380.500,601.500,23.000,54.000,44.288,75.3196,32.2192,0.0000
15,9,427.500,617.000,22.000,48.000,46.654,72.6042,30.2267,0.0000
15,1,629.000,624.000,34.500,40.500,47.927,73.2142,26.7879,0.0000
15,3,1071.000,655.000,50.000,81.000,62.662,58.1387,15.1965,0.0000
15,5,1174.500,644.000,41.500,94.000,58.397,57.9978,13.8497,0.0000
15,4,868.500,655.000,39.500,85.500,55.857,56.9228,17.5837,0.0000
15,6,1704.000,682.500,63.000,70.000,46.853,56.6725,6.8890,0.0000
15,7,1094.500,728.500,49.000,81.500,74.276,47.5353,12.1727,0.0000
15,8,1311.000,783.000,66.000,139.000,70.188,37.5945,7.7057,0.0000
15,10,461.000,610.500,20.500,54.500,45.456,72.6782,29.6733,0.0000
16,0,380.500,602.500,22.000,52.500,42.889,75.4730,32.2940,0.0000
